id,hd_image,ld_image,datasheet,footprint,manufacturer_part_number,quantity_available,unit_price,manufacturer,description,packaging,series,part_status,minimum_quantity,original,component_id,part_id,model,created_at,updated_at
, *, *, *, *,14pF,0,0,Samsung Electronics,CAP CER14pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,62,,,
, *, *, *, *,11pF,0,0,Samsung Electronics,CAP CER11pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,63,,,
, *, *, *, *,3.6pF,0,0,Samsung Electronics,CAP CER3.6pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,64,,,
, *, *, *, *,8.2pF,0,0,Samsung Electronics,CAP CER8.2pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,65,,,
, *, *, *, *,820pF,0,0,Samsung Electronics,CAP CER820pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,66,,,
, *, *, *, *,240pF,0,0,Samsung Electronics,CAP CER240pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,67,,,
, *, *, *, *,56pf50VS0805,0,0,Samsung Electronics,CAP CER56pf50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,,9,68,,,
, *, *, *, *,390p50VS0805,0,0,Samsung Electronics,CAP CER390p50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,,9,69,,,
, *, *, *, *,1.8nF,0,0,Samsung Electronics,CAP CER1.8nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,70,,,
, *, *, *, *,80p50VS0805,0,0,Samsung Electronics,CAP CER80p50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,,9,71,,,
, *, *, *, *,30p50VS0805,0,0,Samsung Electronics,CAP CER30p50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,,9,72,,,
, *, *, *, *,75p50VS0805,0,0,Samsung Electronics,CAP CER75p50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,,9,73,,,
, *, *, *, *,910pF,0,0,Samsung Electronics,CAP CER910pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,74,,,
, *, *, *, *,3nF,0,0,Samsung Electronics,CAP CER3nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,75,,,
, *, *, *, *,16.5pF,0,0,Samsung Electronics,CAP CER16.5pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,76,,,
, *, *, *, *,15.5pF,0,0,Samsung Electronics,CAP CER15.5pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,77,,,
, *, *, *, *,14.5pF,0,0,Samsung Electronics,CAP CER14.5pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,78,,,
, *, *, *, *,13.5pF,0,0,Samsung Electronics,CAP CER13.5pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,79,,,
, *, *, *, *,12.5pF,0,0,Samsung Electronics,CAP CER12.5pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,80,,,
, *, *, *, *,10.5pF,0,0,Samsung Electronics,CAP CER10.5pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,81,,,
, *, *, *, *,82nF,0,0,Samsung Electronics,CAP CER82nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,82,,,
, *, *, *, *,3.9nF,0,0,Samsung Electronics,CAP CER3.9nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,83,,,
, *, *, *, *,4.5n50VS0805,0,0,Samsung Electronics,CAP CER4.5n50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,,9,84,,,
, *, *, *, *,820nF,0,0,Samsung Electronics,CAP CER820nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,,9,85,,,
, *, *, *, *,7pF,0,0,Samsung Electronics,CAP CER7pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,,9,86,,,
, *, *, *, *,270pF,0,0,Samsung Electronics,CAP CER270pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,,9,87,,,
, *, *, *, *,36pF,0,0,Samsung Electronics,CAP CER36pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,,9,88,,,
, *, *, *, *,82nF,0,0,Samsung Electronics,CAP CER82nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,,9,89,,,
, *, *, *, *,5.6nF,0,0,Samsung Electronics,CAP CER5.6nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,,9,90,,,
, *, *, *, *,3nF,0,0,Samsung Electronics,CAP CER3nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,,9,91,,,
