id,hd_image,ld_image,datasheet,footprint,manufacturer_part_number,quantity_available,unit_price,manufacturer,description,packaging,series,part_status,minimum_quantity,original,component_id,part_id,model,created_at,updated_at
, *, *, *,,CF18JT7R67,0,0,Zenithsun Electronics Tech,RES 7.67 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,62,,,
, *, *, *,,CF18JT7M32,0,0,Zenithsun Electronics Tech,RES 7.32M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,63,,,
, *, *, *,,CF18JT7K32,0,0,Zenithsun Electronics Tech,RES 7.32K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,64,,,
, *, *, *,,CF18JT7R32,0,0,Zenithsun Electronics Tech,RES 7.32 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,65,,,
, *, *, *,,CF18JT7K15,0,0,Zenithsun Electronics Tech,RES 7.15K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,66,,,
, *, *, *,,CF18JT7R15,0,0,Zenithsun Electronics Tech,RES 7.15 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,67,,,
, *, *, *,,CF18JT698K,0,0,Zenithsun Electronics Tech,RES 698K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,68,,,
, *, *, *,,CF18JT698,0,0,Zenithsun Electronics Tech,RES 698 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,69,,,
, *, *, *,,CF18JT69K8,0,0,Zenithsun Electronics Tech,RES 69.8K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,70,,,
, *, *, *,,CF18JT69R8,0,0,Zenithsun Electronics Tech,RES 69.8 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,71,,,
, *, *, *,,CF18JT69K5,0,0,Zenithsun Electronics Tech,RES 69.5K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,72,,,
, *, *, *,,CF18JT681K,0,0,Zenithsun Electronics Tech,RES 681K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,73,,,
, *, *, *,,CF18JT68K6,0,0,Zenithsun Electronics Tech,RES 68.6K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,74,,,
, *, *, *,,CF18JT68R1,0,0,Zenithsun Electronics Tech,RES 68.1 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,75,,,
, *, *, *,,CF18JT670K,0,0,Zenithsun Electronics Tech,RES 670K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,76,,,
, *, *, *,,CF18JT665K,0,0,Zenithsun Electronics Tech,RES 665K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,77,,,
