Simple Reset/Power-On Reset,1,Open Drain* Open Drain,Active High/Active Low,140 ms Minimum,4.65V,0°C ~ 70°C (TA),Surface Mount,"16-SOIC (0.295""* 7.50mm Width)",16-SOIC
Multi-Voltage Supervisor,4,Open Drain or Open Collector,Active Low,140 ms Minimum,1.593V* 2.213V* 2.921V* Adj,0°C ~ 70°C (TA),Surface Mount,SOT-23-6 Thin* TSOT-23-6,TSOT-23-6
Multi-Voltage Supervisor,3,Push-Pull* Totem Pole,Active Low,Adjustable/Selectable,3.086V* Adj* Adj,0°C ~ 70°C (TA),Surface Mount,SOT-23-8 Thin* TSOT-23-8,TSOT-23-8
Simple Reset/Power-On Reset,1,Open Drain or Open Collector,Active High/Active Low,35 ms Minimum,4.65V,0°C ~ 70°C (TA),Surface Mount,"16-SOIC (0.295""* 7.50mm Width)",16-SOIC
Simple Reset/Power-On Reset,1,Open Drain or Open Collector,Active High/Active Low,250 ms Minimum,4.37V* 4.62V,0°C ~ 70°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Simple Reset/Power-On Reset,1,Open Drain or Open Collector,Active High/Active Low,250 ms Minimum,4.37V* 4.62V,-40°C ~ 85°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Watchdog Circuit,1,Push-Pull* Totem Pole,Active Low,100 ms Minimum,2.93V,-40°C ~ 125°C (TA),Surface Mount,SOT-23-6,SOT-23-6
Simple Reset/Power-On Reset,1,Open Drain or Open Collector,Active Low,100 ms Minimum,2.93V,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Battery Backup Circuit,1,Open Drain or Open Collector,Active Low,150 ms Minimum,2.93V,-40°C ~ 85°C (TA),Surface Mount,SOT-23-8,SOT-23-8
Simple Reset/Power-On Reset,1,Open Drain or Open Collector,Active Low,50 µs Typical,Adjustable/Selectable,-40°C ~ 125°C (TA),Surface Mount,SC-74A* SOT-753,SOT-23-5
Simple Reset/Power-On Reset,1,Open Drain or Open Collector,Active Low,90 ms Minimum,Adjustable/Selectable,-40°C ~ 125°C (TA),Surface Mount,SC-74A* SOT-753,SOT-23-5
Simple Reset/Power-On Reset,1,Open Drain or Open Collector,Active Low,140 ms Minimum,2.32V,-40°C ~ 125°C (TA),Surface Mount,SC-82A* SOT-343,SC-70-4
Battery Backup Circuit,1,Push-Pull* Totem Pole,Active Low,140 ms Minimum,4.65V,0°C ~ 70°C (TA),Through Hole,"8-DIP (0.300""* 7.62mm)",8-PDIP
Battery Backup Circuit,1,Push-Pull* Totem Pole,Active Low,140 ms Minimum,4.65V,0°C ~ 70°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Battery Backup Circuit,1,Push-Pull* Push-Pull,Active High/Active Low,35 ms Minimum,4.65V,0°C ~ 70°C (TA),Surface Mount,"16-SOIC (0.295""* 7.50mm Width)",16-SOIC
Battery Backup Circuit,1,Push-Pull* Totem Pole,Active Low,140 ms Minimum,4.4V,0°C ~ 70°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Battery Backup Circuit,1,Push-Pull* Totem Pole,Active Low,140 ms Minimum,4.65V,0°C ~ 70°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Simple Reset/Power-On Reset,1,Push-Pull* Totem Pole,Active Low,140 ms Minimum,4.65V,0°C ~ 70°C (TA),Through Hole,"8-DIP (0.300""* 7.62mm)",8-PDIP
Simple Reset/Power-On Reset,1,Push-Pull* Totem Pole,Active Low,140 ms Minimum,4.65V,0°C ~ 70°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Simple Reset/Power-On Reset,1,Push-Pull* Totem Pole,Active Low,140 ms Minimum,4.4V,0°C ~ 70°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Simple Reset/Power-On Reset,1,Push-Pull* Totem Pole,Active Low,140 ms Minimum,4.4V,-40°C ~ 85°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Simple Reset/Power-On Reset,1,Push-Pull* Totem Pole,Active Low,140 ms Minimum,2.63V,0°C ~ 70°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Simple Reset/Power-On Reset,1,Push-Pull* Totem Pole,Active Low,140 ms Minimum,2.93V,-40°C ~ 85°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Simple Reset/Power-On Reset,1,Push-Pull* Totem Pole,Active Low,140 ms Minimum,3.08V,0°C ~ 70°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Simple Reset/Power-On Reset,1,Push-Pull* Totem Pole,Active Low,140 ms Minimum,4.65V,0°C ~ 70°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Battery Backup Circuit,1,-,Active High/Active Low,140 ms Minimum,4.675V,0°C ~ 70°C (TA),Surface Mount,"16-SOIC (0.295""* 7.50mm Width)",16-SOIC
Simple Reset/Power-On Reset,1,Push-Pull* Totem Pole,Active Low,140 ms Minimum,4.63V,-40°C ~ 105°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
