General Purpose,2,Open-Collector* Open-Emitter* TTL,5 V ~ 30 V* ±2.5 V ~ 15 V,8mV @ ±15V,1µA @ ±15V,-,12.5mA,-,-,-,0°C ~ 70°C,"14-SOIC (0.154""* 3.90mm Width)",Surface Mount,14-SO
General Purpose,2,DTL* Open-Collector* Open-Emitter* RTL* TTL,5 V ~ 36 V* ±2.5 V ~ 18 V,8mV @ ±15V,1µA @ ±15V,-,12.5mA,CMRR* PSRR (Typ) -,-,-,0°C ~ 70°C,TO-100-10 Metal Can,Through Hole,TO-100-10
Differential,4,CMOS* MOS* Open-Collector* TTL,2 V ~ 30 V* ±1 V ~ 15 V,5mV @ 30V,0.25µA @ 5V,20mA,2.5mA,-,-,-,0°C ~ 70°C,"14-SOIC (0.154""* 3.90mm Width)",Surface Mount,14-SOIC
Differential,4,CMOS* MOS* Open-Collector* TTL,2 V ~ 30 V* ±1 V ~ 15 V,5mV @ 30V,0.25µA @ 5V,20mA,2.5mA,-,-,-,0°C ~ 70°C,"14-DIP (0.300""* 7.62mm)",Through Hole,14-PDIP
Differential,2,CMOS* MOS* Open-Drain* TTL,2 V ~ 36 V* ±1 V ~ 18 V,5mV @ 30V,0.25µA @ 5V,20mA,2.5mA,-,-,-,0°C ~ 70°C,"8-TSSOP (0.173""* 4.40mm Width)",Surface Mount,8-TSSOP
General Purpose,2,DTL* Open-Collector* RTL* TTL,5 V ~ 36 V* ±2.5 V ~ 18 V,8mV @ ±15V,1µA @ ±15V,25mA,12.5mA,CMRR* PSRR (Typ) -,-,-,-40°C ~ 85°C,"14-DIP (0.300""* 7.62mm)",Through Hole,
with Latch,1,CMOS* TTL,4.5 V ~ 7 V* ±2.25 V ~ 16.5 V,1.5mV @ 5V,5µA @ 5V,-,10mA,95dB CMRR* 90dB PSRR,50ns,500µV,0°C ~ 70°C,"8-DIP (0.300""* 7.62mm)",Through Hole,8-PDIP
General Purpose,1,CMOS* Complementary* TTL,3 V ~ 10 V* ±1.5 V ~ 5 V,7mV @ 5V,6µA @ 5V,-,6mA* 3.3mA* 5.5mA,85dB CMRR* 65dB PSRR,9.8ns,-,-40°C ~ 85°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SOIC
General Purpose,1,CMOS* Complementary* TTL,3 V ~ 10 V* ±1.5 V ~ 5 V,7mV @ 5V,6µA @ 5V,-,6mA* 3.3mA* 5.5mA,85dB CMRR* 65dB PSRR,9.8ns,-,-40°C ~ 85°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SOIC
with Latch,1,Complementary* TTL,3 V ~ 5 V,7mV @ 5V,6µA @ 5V,-,10mA* 4mA,CMRR* PSRR (Typ) 85dB CMRR* 73dB PSRR,5.5ns,-,-40°C ~ 85°C,"8-TSSOP* 8-MSOP (0.118""* 3.00mm Width)",Surface Mount,8-MSOP
with Latch,2,Complementary* ECL* Open-Emitter,-,2mV @ -5.2V* 5V,10µA @ -5.2V*5V,30mA,18mA*36mA,CMRR* PSRR (Typ) 90dB CMRR* 70dB PSRR,3.5ns,-,-25°C ~ 85°C,"16-CDIP (0.300""* 7.62mm)",Through Hole,16-CDIP
with Voltage Reference,2,Open Drain,1.7 V ~ 5.5 V,-,0.005µA @ 1.7V,-,10µA,-,10µs,-,-40°C ~ 125°C,SOT-23-8,Surface Mount,SOT-23-8
with Voltage Reference,2,Open Drain,1.7 V ~ 5.5 V,-,0.005µA @ 1.7V,-,10µA,-,10µs,-,-40°C ~ 125°C,SOT-23-8,Surface Mount,SOT-23-8
with Voltage Reference,1,Open Drain,2.25 V ~ 5.5 V,-,170µA @ 5.5V,-,15µA,-,-,15mV,-40°C ~ 125°C,SC-82A* SOT-343,Surface Mount,SC-70-4
with Voltage Reference,1,Differential* Open-Drain,1.7 V ~ 5.5 V,-,0.005µA @ 1.7V,-,10µA,-,10µs,13.5mV,-40°C ~ 125°C,SC-74A* SOT-753,Surface Mount,SOT-23-5
with Latch,2,Complementary* Differential* Open-Emitter* PECL,±4.75 V ~ 5.25 V,2mV @ -5.2V*5V,3µA @ -5.2V*5V,30mA,5mA* 28mA* 13mA,CMRR* PSRR (Typ) 80dB CMRR* 85dB PSRR,0.83ns,±1mV,-40°C ~ 85°C,"20-SSOP (0.154""* 3.90mm Width)",Surface Mount,20-QSOP
with Latch,2,Complementary* Differential* Open-Emitter* PECL,±4.75 V ~ 5.25 V,5mV @ 5V,24µA @ 5V,30mA,20mA* 95mA* 18mA,CMRR* PSRR (Typ) 69dB CMRR,0.3ns,±1mV,-40°C ~ 85°C,32-VFQFN Exposed Pad* CSP,Surface Mount,32-LFCSP-VQ (5x5)
General Purpose,1,CMOS* DTL* ECL* MOS* Open-Collector* TTL,2 V ~ 36 V* ±1 V ~ 18 V,8mV @ 5V,0.4µA @ 5V,16mA @ 5V,2.5mA,-,-,-,0°C ~ 70°C,SC-74A* SOT-753,Surface Mount,SOT-25
General Purpose,1,DTL* MOS* Open-Collector* Open-Emitter* RTL* TTL,5 V ~ 36 V* ±2.5 V ~ 18 V,3mV @ ±15V,0.1µA @ ±15V,-,6mA,CMRR* PSRR (Typ) -,-,-,-55°C ~ 125°C,"8-CDIP (0.300""* 7.62mm)",Through Hole,8-CERDIP
General Purpose,1,DTL* MOS* Open-Collector* Open-Emitter* RTL* TTL,5 V ~ 36 V* ±2.5 V ~ 18 V,3mV @ ±15V,0.1µA @ ±15V,-,6mA,CMRR* PSRR (Typ) -,-,-,-55°C ~ 125°C,"8-CDIP (0.300""* 7.62mm)",Through Hole,8-CERDIP
General Purpose,2,DTL* Open-Collector* RTL* TTL,5 V ~ 36 V* ±2.5 V ~ 18 V,4mV @ ±15V,0.5µA @ ±15V,25mA,11.5mA,CMRR* PSRR (Typ) -,-,-,-55°C ~ 125°C,"14-CDIP (0.300""* 7.62mm)",Through Hole,14-CDIP
General Purpose,4,CMOS* DTL* ECL* MOS* Open-Collector* TTL,2 V ~ 36 V* ±1 V ~ 18 V,5mV @ 30V,0.1µA @ 5V,16mA @ 5V,2.5mA,-,-,-,-55°C ~ 125°C,"14-CDIP (0.300""* 7.62mm)",Through Hole,14-CDIP
