 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 10V  C,Cut Tape (CT),TAJ,Active,10,232,77,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 2.2uF 20% 35V  C,Cut Tape (CT),TAJ,Active,10,232,78,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 6.3V  C,Cut Tape (CT),TAJ,Active,10,232,79,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1.5uF 20% 35V  C,Cut Tape (CT),TAJ,Active,10,232,80,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 35V  C,Cut Tape (CT),TAJ,Active,10,232,81,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 15uF 20% 25V  D,Cut Tape (CT),TAJ,Active,10,232,82,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 15uF 20% 35V  D,Cut Tape (CT),TAJ,Active,10,232,83,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 25V  D,Cut Tape (CT),TAJ,Active,10,232,84,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 150uF 20% 6.3V  D,Cut Tape (CT),TAJ,Active,10,232,85,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 16V  D,Cut Tape (CT),TAJ,Active,10,232,86,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 50V  E,Cut Tape (CT),TAJ,Active,10,232,87,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 150nF 20% 35V  A,Cut Tape (CT),TAJ,Active,10,232,88,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 680nF 20% 20V  A,Cut Tape (CT),TAJ,Active,10,232,89,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 6.8uF 20% 6.3V  A,Cut Tape (CT),TAJ,Active,10,232,90,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 20V  A,Cut Tape (CT),TAJ,Active,10,232,91,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 0.22uF 20% 35V  A,Cut Tape (CT),TAJ,Active,10,232,92,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 470nF 20% 35V  B,Cut Tape (CT),TAJ,Active,10,232,93,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 10V  C,Cut Tape (CT),TAJ,Active,10,232,94,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 10V  C,Cut Tape (CT),TAJ,Active,10,232,95,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 10V  C,Cut Tape (CT),TAJ,Active,10,232,96,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 15uF 20% 16V  C,Cut Tape (CT),TAJ,Active,10,232,97,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 68uF 20% 6.3V  D,Cut Tape (CT),TAJ,Active,10,232,98,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 35V  D,Cut Tape (CT),TAJ,Active,10,232,99,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 35V  E,Cut Tape (CT),TAJ,Active,10,232,100,
 *, *, *,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 16V  A,Cut Tape (CT),TAJ,Active,10,232,101,
