 *, *, *,4.5n50VS0805,0,0,Samsung Electronics,CAP CER4.5n50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,84,
 *, *, *,820nF,0,0,Samsung Electronics,CAP CER820nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,85,
 *, *, *,7pF,0,0,Samsung Electronics,CAP CER7pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,86,
 *, *, *,270pF,0,0,Samsung Electronics,CAP CER270pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,87,
 *, *, *,36pF,0,0,Samsung Electronics,CAP CER36pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,88,
 *, *, *,82nF,0,0,Samsung Electronics,CAP CER82nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,89,
 *, *, *,5.6nF,0,0,Samsung Electronics,CAP CER5.6nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,90,
 *, *, *,3nF,0,0,Samsung Electronics,CAP CER3nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,91,
 *, *, *,1.8nF,0,0,Samsung Electronics,CAP CER1.8nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,92,
 *, *, *,330pF,0,0,Samsung Electronics,CAP CER330pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,93,
 *, *, *,680pF,0,0,Samsung Electronics,CAP CER680pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,94,
 *, *, *,180pF,0,0,Samsung Electronics,CAP CER180pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,95,
 *, *, *,6.8nF,0,0,Samsung Electronics,CAP CER6.8nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,96,
 *, *, *,220pF,0,0,Samsung Electronics,CAP CER220pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,97,
 *, *, *,820nF,0,0,Samsung Electronics,CAP CER820nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,98,
 *, *, *,8.2nF,0,0,Samsung Electronics,CAP CER8.2nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,99,
 *, *, *,680nF,0,0,Samsung Electronics,CAP CER680nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,100,
 *, *, *,270nF,0,0,Samsung Electronics,CAP CER270nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,101,
 *, *, *,3.9nF,0,0,Samsung Electronics,CAP CER3.9nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,102,
 *, *, *,4pF,0,0,Samsung Electronics,CAP CER4pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,103,
 *, *, *,4.7pF,0,0,Samsung Electronics,CAP CER4.7pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,104,
 *, *, *,3.6nF,0,0,Samsung Electronics,CAP CER3.6nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,105,
 *, *, *,60pF,0,0,Samsung Electronics,CAP CER60pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,106,
 *, *, *,270pF,0,0,Samsung Electronics,CAP CER270pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,107,
 *, *, *,1.2nF,0,0,Samsung Electronics,CAP CER1.2nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,108,
 *, *, *,180pF,0,0,Samsung Electronics,CAP CER180pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,109,
 *, *, *,750pF,0,0,Samsung Electronics,CAP CER750pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,110,
 *, *, *,680pF,0,0,Samsung Electronics,CAP CER680pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,111,
 *, *, *,0.82pF,0,0,Samsung Electronics,CAP CER0.82pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,112,
 *, *, *,39nF,0,0,Samsung Electronics,CAP CER39nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,113,
 *, *, *,300pF,0,0,Samsung Electronics,CAP CER300pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,114,
 *, *, *,27pF,0,0,Samsung Electronics,CAP CER27pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,115,
 *, *, *,2.5pF,0,0,Samsung Electronics,CAP CER2.5pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,116,
 *, *, *,5.6nF,0,0,Samsung Electronics,CAP CER5.6nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,117,
 *, *, *,14pF,0,0,Samsung Electronics,CAP CER14pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,118,
 *, *, *,22nF,0,0,Samsung Electronics,CAP CER22nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,119,
 *, *, *,680nF,0,0,Samsung Electronics,CAP CER680nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,120,
 *, *, *,750nF,0,0,Samsung Electronics,CAP CER750nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,121,
 *, *, *,560nF,0,0,Samsung Electronics,CAP CER560nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,122,
 *, *, *,17pF,0,0,Samsung Electronics,CAP CER17pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,123,
 *, *, *,68n50VS0805,0,0,Samsung Electronics,CAP CER68n50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,124,
 *, *, *,150nF,0,0,Samsung Electronics,CAP CER150nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,125,
 *, *, *,560pF,0,0,Samsung Electronics,CAP CER560pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,126,
 *, *, *,56pF,0,0,Samsung Electronics,CAP CER56pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,127,
 *, *, *,10pF,0,0,Samsung Electronics,CAP CER10pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,128,
 *, *, *,1.5nF,0,0,Samsung Electronics,CAP CER1.5nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,129,
 *, *, *,7pF,0,0,Samsung Electronics,CAP CER7pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,130,
 *, *, *,270pf50VS0805,0,0,Samsung Electronics,CAP CER270pf50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,131,
 *, *, *,120nF,0,0,Samsung Electronics,CAP CER120nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,132,
 *, *, *,6.8nf50VS0805,0,0,Samsung Electronics,CAP CER6.8nf50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,133,
 *, *, *,200p50VS0805,0,0,Samsung Electronics,CAP CER200p50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,134,
 *, *, *,1.2nF,0,0,Samsung Electronics,CAP CER1.2nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,135,
 *, *, *,680pF,0,0,Samsung Electronics,CAP CER680pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,136,
 *, *, *,1.5nF,0,0,Samsung Electronics,CAP CER1.5nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,137,
 *, *, *,39nF,0,0,Samsung Electronics,CAP CER39nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,138,
 *, *, *,270nF,0,0,Samsung Electronics,CAP CER270nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,139,
 *, *, *,56nF,0,0,Samsung Electronics,CAP CER56nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,140,
 *, *, *,8.2nF,0,0,Samsung Electronics,CAP CER8.2nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,141,
 *, *, *,560nF,0,0,Samsung Electronics,CAP CER560nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,142,
 *, *, *,390nF,0,0,Samsung Electronics,CAP CER390nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,143,
 *, *, *,680nF,0,0,Samsung Electronics,CAP CER680nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,144,
 *, *, *,1.5nF,0,0,Samsung Electronics,CAP CER1.5nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,145,
 *, *, *,390pF,0,0,Samsung Electronics,CAP CER390pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,146,
 *, *, *,8.2pF,0,0,Samsung Electronics,CAP CER8.2pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,147,
 *, *, *,360pF,0,0,Samsung Electronics,CAP CER360pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,148,
 *, *, *,27nF,0,0,Samsung Electronics,CAP CER27nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,149,
 *, *, *,39nF,0,0,Samsung Electronics,CAP CER39nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,150,
 *, *, *,470pF,0,0,Samsung Electronics,CAP CER470pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,151,
 *, *, *,330nF,0,0,Samsung Electronics,CAP CER330nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,152,
 *, *, *,0.68pF,0,0,Samsung Electronics,CAP CER0.68pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,153,
 *, *, *,0.56pF,0,0,Samsung Electronics,CAP CER0.56pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,154,
 *, *, *,560pF,0,0,Samsung Electronics,CAP CER560pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,155,
 *, *, *,75pF,0,0,Samsung Electronics,CAP CER75pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,156,
 *, *, *,82nF,0,0,Samsung Electronics,CAP CER82nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,157,
 *, *, *,27nF,0,0,Samsung Electronics,CAP CER27nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,158,
 *, *, *,6.8nF,0,0,Samsung Electronics,CAP CER6.8nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,159,
 *, *, *,56nF,0,0,Samsung Electronics,CAP CER56nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,160,
 *, *, *,330pf50VS0805,0,0,Samsung Electronics,CAP CER330pf50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,161,
 *, *, *,200nF,0,0,Samsung Electronics,CAP CER200nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,162,
 *, *, *,51nF,0,0,Samsung Electronics,CAP CER51nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,163,
 *, *, *,1.2nF,0,0,Samsung Electronics,CAP CER1.2nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,164,
 *, *, *,150nF,0,0,Samsung Electronics,CAP CER150nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,165,
 *, *, *,220pF,0,0,Samsung Electronics,CAP CER220pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,166,
 *, *, *,30pF,0,0,Samsung Electronics,CAP CER30pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,167,
 *, *, *,8.2nF,0,0,Samsung Electronics,CAP CER8.2nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,168,
 *, *, *,390pF,0,0,Samsung Electronics,CAP CER390pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,169,
 *, *, *,560pf50VS0805,0,0,Samsung Electronics,CAP CER560pf50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,170,
 *, *, *,27nf50VS0805,0,0,Samsung Electronics,CAP CER27nf50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,171,
 *, *, *,180n50VS0805,0,0,Samsung Electronics,CAP CER180n50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,172,
 *, *, *,330nF,0,0,Samsung Electronics,CAP CER330nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,173,
 *, *, *,5pF,0,0,Samsung Electronics,CAP CER5pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,174,
 *, *, *,0.47pF,0,0,Samsung Electronics,CAP CER0.47pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,175,
 *, *, *,820pF,0,0,Samsung Electronics,CAP CER820pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,176,
 *, *, *,390nF,0,0,Samsung Electronics,CAP CER390nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,177,
 *, *, *,820nF,0,0,Samsung Electronics,CAP CER820nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,178,
 *, *, *,1.8nF,0,0,Samsung Electronics,CAP CER1.8nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,179,
 *, *, *,180pF,0,0,Samsung Electronics,CAP CER180pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,180,
 *, *, *,68nF,0,0,Samsung Electronics,CAP CER68nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,181,
 *, *, *,68nF,0,0,Samsung Electronics,CAP CER68nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,182,
 *, *, *,470nF,0,0,Samsung Electronics,CAP CER470nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,183,
 *, *, *,15p50VS0805,0,0,Samsung Electronics,CAP CER15p50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,184,
 *, *, *,470pF,0,0,Samsung Electronics,CAP CER470pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,185,
 *, *, *,5.6nF,0,0,Samsung Electronics,CAP CER5.6nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,186,
 *, *, *,200pF,0,0,Samsung Electronics,CAP CER200pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,187,
 *, *, *,2.2nF,0,0,Samsung Electronics,CAP CER2.2nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,188,
 *, *, *,510pF,0,0,Samsung Electronics,CAP CER510pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,189,
 *, *, *,2nF,0,0,Samsung Electronics,CAP CER2nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,190,
 *, *, *,470pF,0,0,Samsung Electronics,CAP CER470pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,191,
 *, *, *,330pF,0,0,Samsung Electronics,CAP CER330pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,192,
 *, *, *,330nF,0,0,Samsung Electronics,CAP CER330nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,193,
 *, *, *,2.2nF,0,0,Samsung Electronics,CAP CER2.2nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,194,
 *, *, *,220nF,0,0,Samsung Electronics,CAP CER220nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,195,
 *, *, *,150nF,0,0,Samsung Electronics,CAP CER150nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,196,
 *, *, *,220nF,0,0,Samsung Electronics,CAP CER220nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,197,
 *, *, *,2.2nf50VS0805,0,0,Samsung Electronics,CAP CER2.2nf50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,198,
 *, *, *,470nF,0,0,Samsung Electronics,CAP CER470nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,199,
 *, *, *,220nF,0,0,Samsung Electronics,CAP CER220nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,200,
 *, *, *,470nF,0,0,Samsung Electronics,CAP CER470nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,201,
 *, *, *,330n50VS0805,0,0,Samsung Electronics,CAP CER330n50VS0805 V X7R 0805,Cut Tape (CT), - ,Active,50,236,202,
 *, *, *,10nF,0,0,Samsung Electronics,CAP CER10nF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,203,
 *, *, *,100nF,0,0,Samsung Electronics,CAP CER100nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,204,
 *, *, *,0.5pF,0,0,Samsung Electronics,CAP CER0.5pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,205,
 *, *, *,27pF,0,0,Samsung Electronics,CAP CER27pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,206,
 *, *, *,3.3pF,0,0,Samsung Electronics,CAP CER3.3pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,207,
 *, *, *,100nF,0,0,Samsung Electronics,CAP CER100nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,208,
 *, *, *,82pF,0,0,Samsung Electronics,CAP CER82pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,236,209,
 *, *, *,82pF,0,0,Samsung Electronics,CAP CER82pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,236,210,
