178Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
178KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
18.1KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
18.2Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
18.7Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
180Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
182Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
182KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
19.1KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
19.6Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
19.6KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
2Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
2.15Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
2.15KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
2.1KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
2.21Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
2.21KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
2.26KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
2.37KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
2.43MOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
2.4MOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
2.55KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
2.7Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
2.8KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
21.5Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
21.5KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
210Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
210KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
215Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
21KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
22.1Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
22.1KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
22.6Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
22.6KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
221KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
226KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
23.2Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
23.2KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
23.7Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
23.7KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
232Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
232KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
237Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
24.3KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
243KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
249KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
24KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
255KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
26.1Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
26.7KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
27.4Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
270KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
274Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
274KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
280Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
287Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
28KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
29.4KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
2MOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
3Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
3.16KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
3.3Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
3.32MOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
3.48KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
3.4KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
3.6Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
3.65Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
3.65KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
3.6KOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
3.6MOhms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
3.74Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
3.9Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
3.92Ohms, ,1/4W,Thick Film,Automotive AEC-Q200,-,-20°C ~ 125°C,1206 (3216 Metric),1206,0.126 L x 0.063 W (3.20mm x 1.60mm),-,2,-,
