3nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0805,0.079 L x 0.049 W (2.00mm x 1.25mm), - , - , - , - ,
16.5pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0805,0.079 L x 0.049 W (2.00mm x 1.25mm), - , - , - , - ,
15.5pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0805,0.079 L x 0.049 W (2.00mm x 1.25mm), - , - , - , - ,
14.5pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0805,0.079 L x 0.049 W (2.00mm x 1.25mm), - , - , - , - ,
13.5pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0805,0.079 L x 0.049 W (2.00mm x 1.25mm), - , - , - , - ,
12.5pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0805,0.079 L x 0.049 W (2.00mm x 1.25mm), - , - , - , - ,
10.5pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0805,0.079 L x 0.049 W (2.00mm x 1.25mm), - , - , - , - ,
82nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0805,0.079 L x 0.049 W (2.00mm x 1.25mm), - , - , - , - ,
3.9nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0805,0.079 L x 0.049 W (2.00mm x 1.25mm), - , - , - , - ,
4.5n50VS0805,10%,V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0805,0.079 L x 0.049 W (2.00mm x 1.25mm), - , - , - , - ,
820nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0805,0.079 L x 0.049 W (2.00mm x 1.25mm), - , - , - , - ,
7pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
270pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
36pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
82nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
5.6nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
3nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
1.8nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
