id,hd_image,ld_image,datasheet,footprint,manufacturer_part_number,quantity_available,unit_price,manufacturer,description,packaging,series,part_status,minimum_quantity,original,component_id,part_id,model,created_at,updated_at
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 50V  D,Cut Tape (CT),TAJ,Active,10,,239,114,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 330uF 20% 6.3V  D,Cut Tape (CT),TAJ,Active,10,,239,115,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1000u6.3VTE 20% V  E,Cut Tape (CT),TAJ,Active,10,,239,116,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 220nF 20% 35V  A,Cut Tape (CT),TAJ,Active,10,,239,117,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 470nF 20% 25V  A,Cut Tape (CT),TAJ,Active,10,,239,118,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 6.3V  B,Cut Tape (CT),TAJ,Active,10,,239,119,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 16V  B,Cut Tape (CT),TAJ,Active,10,,239,120,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 20V  B,Cut Tape (CT),TAJ,Active,10,,239,121,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 68uF 20% 10V  B,Cut Tape (CT),TAJ,Active,10,,239,122,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 100uF 20% 10V  C,Cut Tape (CT),TAJ,Active,10,,239,123,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1uF 20% 20V  A,Cut Tape (CT),TAJ,Active,10,,239,124,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 10V  A,Cut Tape (CT),TAJ,Active,10,,239,125,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 25V  C,Cut Tape (CT),TAJ,Active,10,,239,126,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 470uF 20% 10V  D,Cut Tape (CT),TAJ,Active,10,,239,127,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 220uF 20% 10V  E,Cut Tape (CT),TAJ,Active,10,,239,128,,,
