Step-Down,Positive,Buck,Adjustable,1,4V,40V,1.23V,37V,1A,52kHz,No,-40°C ~ 125°C (TJ),Through Hole,TO-220-5,TO-220-5
Step-Up* Step-Down* Step-Up/Step-Down,Positive or Negative,Buck* Boost* Buck-Boost,Fixed,1,7V,40V,3.3V,-,3A,52kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,D2PAK-5
Step-Down,Positive,Buck,Fixed,1,4V,60V,12V,-,3A,52kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Down,Positive,Buck,Fixed,1,4V,60V,3.3V,-,3A,52kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Down,Positive,Buck,Fixed,1,4V,60V,12V,-,3A,52kHz,No,-40°C ~ 125°C (TJ),Through Hole,TO-220-5,TO-220-5
Step-Down,Positive,Buck,Fixed,1,4V,60V,5V,-,3A,52kHz,No,-40°C ~ 125°C (TJ),Through Hole,TO-220-5,TO-220-5
Step-Down,Positive,Buck,Fixed,1,4V,60V,5V,-,3A,52kHz,No,-40°C ~ 125°C (TJ),Through Hole,TO-220-5,TO-220-5
Step-Down,Positive,Buck,Fixed,1,4V,40V,3.3V,-,3A,52kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Down,Positive,Buck,Adjustable,1,4V,40V,1.23V,37V,3A,52kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Down,Positive,Buck,Fixed,1,4V,40V,15V,-,3A,52kHz,No,-40°C ~ 125°C (TJ),Through Hole,TO-220-5,TO-220-5
