Schottky - 1 Bridge,15V,1A,1pF @ 0V* 1MHz,12 Ohm @ 5mA* 1MHz,-,150°C (TJ),TO-253-4* TO-253AA,SOT-143-4
Schottky - Single,70V,15mA,2pF @ 0V* 1MHz,-,430mW,-65°C ~ 200°C (TJ),DO-204AH* DO-35* Axial,DO-35
Schottky - Anti-Parallel,7V,-,0.06pF @ 0V* 1MHz,-,-,-65°C ~ 125°C (TJ),2-SMD,
PIN - Single,-,100mA,0.03pF @ 40V* 1MHz,3 Ohm @ 50mA* 100MHz,100mW,-55°C ~ 125°C (TJ),Die,
PIN - Single,100V,250mA,0.06pF @ 40V* 1MHz,5.8 Ohm @ 10mA* 1GHz,-,175°C (TJ),2-SMD* No Lead,
Schottky - Single,30V,-,1.5pF @ 15V* 1MHz,-,280mW,-55°C ~ 125°C (TJ),TO-226-2* TO-92-2 (TO-226AC),
PIN - Single,100V,-,0.25pF @ 30V* 1MHz,2 Ohm @ 10mA* 100MHz,250mW,-65°C ~ 150°C (TA),SC-79* SOD-523,SC-79
PIN - Single,-,200mA,0.6pF @ 20V* 1MHz,550 mOhm @ 100mA* 100MHz,2W,-55°C ~ 175°C (TJ),1-VSFN Exposed Pad,2-QFN (2x2)
Schottky - Single,1V,50mA,-,-,75mW,-65°C ~ 150°C (TA),0201 (0603 Metric),201
Schottky - Single,1V,50mA,-,-,75mW,150°C (TJ),SC-79* SOD-523,SC-79
Schottky - Single,70V,15mA,2pF @ 0V* 1MHz,-,430mW,-65°C ~ 200°C (TJ),DO-204AH* DO-35* Axial,DO-35
