43661,2138112,316,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),484-BBGA,484-FBGA (23x23)
43661,2138112,358,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),676-BBGA* FCBGA,676-FCBGA (27x27)
74637,3170304,328,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),484-FBGA* CSPBGA,484-CSPBGA (19x19)
74637,3170304,280,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),484-BBGA,484-FBGA (23x23)
9152,589824,186,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),256-LBGA,256-FTBGA (17x17)
9152,589824,186,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),256-LBGA,256-FTBGA (17x17)
9152,589824,102,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP,144-TQFP (20x20)
9152,589824,102,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),144-LQFP,144-TQFP (20x20)
9152,589824,102,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP,144-TQFP (20x20)
9152,589824,102,-,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),144-LQFP,144-TQFP (20x20)
128000,9732096,240,-,0.95 V ~ 1.05 V,Surface Mount,-40°C ~ 100°C (TJ),484-BBGA,484-FBGA (23x23)
74496,5750784,360,-,0.95 V ~ 1.05 V,Surface Mount,-40°C ~ 100°C (TJ),784-BBGA* FCBGA,784-FCBGA (29x29)
101440,4976640,300,-,0.95 V ~ 1.05 V,Surface Mount,-40°C ~ 100°C (TJ),676-BGA,676-FBGA (27x27)
33208,1843200,170,-,0.95 V ~ 1.05 V,Surface Mount,0°C ~ 85°C (TJ),256-LBGA,
33208,1843200,150,-,0.95 V ~ 1.05 V,Surface Mount,0°C ~ 85°C (TJ),324-LFBGA* CSPBGA,
162240,11980800,400,-,0.97 V ~ 1.03 V,Surface Mount,-40°C ~ 100°C (TJ),676-BBGA* FCBGA,676-FCBGA (27x27)
326080,16404480,500,-,0.97 V ~ 1.03 V,Surface Mount,0°C ~ 85°C (TJ),900-BBGA* FCBGA,900-FCBGA (31x31)
326080,16404480,500,-,0.97 V ~ 1.03 V,Surface Mount,-40°C ~ 100°C (TJ),900-BBGA* FCBGA,900-FCBGA (31x31)
466,6272,112,10000,3 V ~ 3.6 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP,144-TQFP (20x20)
466,6272,77,10000,3 V ~ 3.6 V,Surface Mount,0°C ~ 85°C (TJ),100-TQFP,100-VQFP (14x14)
950,12800,113,20000,4.75 V ~ 5.25 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP,144-TQFP (20x20)
950,12800,113,20000,3 V ~ 3.6 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP,144-TQFP (20x20)
8064,294912,141,400000,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),208-BFQFP,208-PQFP (28x28)
8064,294912,97,400000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP,
8064,294912,97,400000,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),144-LQFP,
2700,40960,140,100000,2.375 V ~ 2.625 V,Surface Mount,0°C ~ 85°C (TJ),208-BFQFP,208-PQFP (28x28)
3888,49152,140,150000,2.375 V ~ 2.625 V,Surface Mount,0°C ~ 85°C (TJ),208-BFQFP,208-PQFP (28x28)
1728,32768,140,50000,2.375 V ~ 2.625 V,Surface Mount,0°C ~ 85°C (TJ),208-BFQFP,208-PQFP (28x28)
29952,589824,487,1500000,1.14 V ~ 1.26 V,Surface Mount,-40°C ~ 100°C (TJ),676-BBGA* FCBGA,676-FCBGA (27x27)
8064,294912,141,400000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),208-BFQFP,208-PQFP (28x28)
30720,1179648,400,-,0.95 V ~ 1.05 V,Surface Mount,-40°C ~ 100°C (TJ),676-BBGA* FCBGA,676-FCBGA (27x27)
71,60000,-,-,1.425 V ~ 1.575 V,Surface Mount,-40°C ~ 100°C (TJ),100-TQFP,100-VQFP (14x14)
3000,-,-,-,3 V ~ 3.6 V* 4.75 V ~ 5.25 V,Surface Mount,0°C ~ 70°C (TA),68-LCC (J-Lead),68-PLCC (24.23x24.23)
5980,92160,185,-,1.425 V ~ 1.575 V,Surface Mount,0°C ~ 85°C (TJ),240-BFQFP,240-PQFP (32x32)
5980,92160,98,-,1.425 V ~ 1.575 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP,144-TQFP (20x20)
2880,40960,102,199000,2.375 V ~ 2.625 V,Surface Mount,0°C ~ 70°C (TA),144-LQFP,144-TQFP (20x20)
33216,483840,322,-,1.15 V ~ 1.25 V,Surface Mount,0°C ~ 85°C (TJ),484-BGA,484-FBGA (23x23)
114480,3981312,280,-,1.15 V ~ 1.25 V,Surface Mount,-40°C ~ 100°C (TJ),484-BGA,484-FBGA (23x23)
6272,276480,91,-,1.15 V ~ 1.25 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP Exposed Pad,144-EQFP (20x20)
