Shunt,Fixed,2.5V,-,20mA,±1.5%,80ppm/°C Typical,-,120µVrms,-,-,30µA,0°C ~ 70°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Shunt,Fixed,2.5V,-,20mA,±1.5%,30ppm/°C,-,120µVrms,-,-,20µA,0°C ~ 70°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Shunt,Fixed,1.235V,-,20mA,-0.00049086,150ppm/°C,-,60µVrms,-,-,10µA,0°C ~ 70°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Shunt,Fixed,1.235V,-,20mA,-0.00049086,150ppm/°C,-,60µVrms,-,-,10µA,0°C ~ 70°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Shunt,Fixed,1.235V,-,20mA,-0.00049086,150ppm/°C,-,60µVrms,-,-,15µA,0°C ~ 70°C (TA),Through Hole,TO-226-3* TO-92-3 (TO-226AA),TO-92-3
Shunt,Fixed,2.5V,-,20mA,±3%,150ppm/°C,-,120µVrms,-,-,20µA,0°C ~ 70°C (TA),Through Hole,TO-226-3* TO-92-3 (TO-226AA),TO-92-3
Shunt,Fixed,6.95V,-,10mA,±0.17%,2ppm/°C,-,7µVrms,-,-,500µA,0°C ~ 70°C (TA),Through Hole,TO-46-4 Metal Can,TO-46-4
Shunt,Fixed,2.048V,-,15mA,±0.1%,100ppm/°C,-,35µVrms,-,-,65µA,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Shunt,Fixed,2.5V,-,15mA,±0.1%,100ppm/°C,-,35µVrms,-,-,65µA,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Shunt,Fixed,5V,-,15mA,±0.1%,100ppm/°C,-,80µVrms,-,-,80µA,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Shunt,Fixed,2.5V,-,15mA,±0.2%,100ppm/°C,-,35µVrms,-,-,65µA,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Shunt,Fixed,5V,-,15mA,±0.2%,100ppm/°C,-,80µVrms,-,-,80µA,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Shunt,Fixed,4.096V,-,15mA,±1%,150ppm/°C,-,80µVrms,-,-,78µA,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Shunt,Fixed,4.096V,-,15mA,±1%,150ppm/°C,-,80µVrms,-,-,78µA,-40°C ~ 85°C (TA),Through Hole,TO-226-3* TO-92-3 (TO-226AA),TO-92-3
Shunt,Adjustable,1.233V,10V,12mA,±0.2%,100ppm/°C,-,20µVrms,-,-,80µA,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Shunt,Adjustable,1.233V,10V,12mA,±0.5%,100ppm/°C,-,20µVrms,-,-,65µA,-40°C ~ 85°C (TA),Surface Mount,5-TSSOP* SC-70-5* SOT-353,SC-70-5
Shunt,Adjustable,1.233V,10V,12mA,±0.5%,100ppm/°C,-,20µVrms,-,-,65µA,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Shunt,Fixed,1.225V,-,12mA,±1%,150ppm/°C,-,20µVrms,-,-,70µA,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
